yr1,mth1,yr2,mth2
2000,7,2000,8
2000,11,2000,12
2001,2,2001,3
2001,3,2001,4
2001,4,2001,5
2001,5,2001,6
2001,6,2001,7
2001,9,2001,10
2001,11,2001,12
2001,12,2002,1
2002,6,2002,7
2003,6,2003,7
2003,8,2003,9
2003,12,2004,1
2004,1,2004,2
2004,2,2004,3
2004,3,2004,4
2004,5,2004,6
2004,8,2004,9
2005,3,2005,4
2005,5,2005,6
2005,6,2005,7
2005,8,2005,9
2005,12,2006,1
2006,1,2006,2
2007,3,2007,4
2007,4,2007,5
2007,7,2007,8
2007,11,2007,12
2007,12,2008,1
2008,4,2008,5
2008,5,2008,6
2008,8,2008,9
2008,12,2009,1
2009,1,2009,2
2009,2,2009,3
2009,9,2009,10
2011,12,2012,1
2012,1,2012,2
2012,2,2012,3
2012,3,2012,4
2012,6,2012,7
2012,7,2012,8
2012,8,2012,9
2012,9,2012,10
2012,10,2012,11
2012,11,2012,12
2012,12,2013,1
2013,1,2013,2
2013,2,2013,3
2020,6,2020,7
2020,7,2020,8
2020,8,2020,9
2020,9,2020,10
2020,10,2020,11
2020,11,2020,12
2020,12,2021,1
