yr1,mth1,yr2,mth2
1984,4,1984,5
1984,5,1984,6
1984,6,1984,7
1984,7,1984,8
1984,9,1984,10
1984,10,1984,11
1984,12,1985,1
1985,1,1985,2
1985,2,1985,3
1985,4,1985,5
1985,6,1985,7
1985,12,1986,1
1986,3,1986,4
1986,8,1986,9
1986,10,1986,11
1986,12,1987,1
1987,1,1987,2
1987,3,1987,4
1987,5,1987,6
1987,6,1987,7
1987,11,1987,12
1988,1,1988,2
1988,2,1988,3
1988,3,1988,4
1988,4,1988,5
1988,5,1988,6
1988,6,1988,7
1988,7,1988,8
1988,8,1988,9
1988,9,1988,10
1988,11,1988,12
1988,12,1989,1
1989,2,1989,3
1989,6,1989,7
1989,11,1989,12
1989,12,1990,1
1990,1,1990,2
1990,3,1990,4
1990,5,1990,6
1990,7,1990,8
1990,9,1990,10
1990,10,1990,11
1990,11,1990,12
1990,12,1991,1
1991,1,1991,2
1991,2,1991,3
1991,6,1991,7
1991,11,1991,12
1992,1,1992,2
1992,2,1992,3
1992,5,1992,6
1992,6,1992,7
1992,12,1993,1
1993,1,1993,2
1993,2,1993,3
1993,3,1993,4
1993,7,1993,8
1993,8,1993,9
1993,9,1993,10
1993,10,1993,11
1993,12,1994,1
1994,1,1994,2
1994,5,1994,6
1994,11,1994,12
1994,12,1995,1
1995,1,1995,2
1995,3,1995,4
1995,4,1995,5
1995,11,1995,12
1995,12,1996,1
1996,3,1996,4
1996,5,1996,6
1996,12,1997,1
1997,1,1997,2
1997,2,1997,3
1997,3,1997,4
1997,5,1997,6
1997,8,1997,9
1997,9,1997,10
1997,10,1997,11
1997,11,1997,12
1997,12,1998,1
1998,3,1998,4
1998,5,1998,6
1998,6,1998,7
1998,7,1998,8
1998,9,1998,10
1998,11,1998,12
1998,12,1999,1
1999,1,1999,2
1999,2,1999,3
1999,4,1999,5
1999,5,1999,6
1999,6,1999,7
1999,7,1999,8
1999,8,1999,9
1999,9,1999,10
1999,10,1999,11
1999,12,2000,1
2000,1,2000,2
2000,2,2000,3
2000,3,2000,4
2000,4,2000,5
2000,5,2000,6
2000,6,2000,7
2000,7,2000,8
