yr1,mth1,yr2,mth2
1984,1,1984,2
1984,2,1984,3
1985,8,1985,9
1985,11,1985,12
1986,2,1986,3
1986,5,1986,6
1986,11,1986,12
1987,2,1987,3
1987,7,1987,8
1987,9,1987,10
1987,12,1988,1
1988,10,1988,11
1989,1,1989,2
1989,3,1989,4
1989,4,1989,5
1989,5,1989,6
1989,7,1989,8
1989,8,1989,9
1989,10,1989,11
1991,4,1991,5
1991,8,1991,9
1991,9,1991,10
1991,10,1991,11
1991,12,1992,1
1992,10,1992,11
1993,4,1993,5
1993,5,1993,6
1993,11,1993,12
1994,2,1994,3
1994,6,1994,7
1994,7,1994,8
1994,8,1994,9
1994,9,1994,10
1995,10,1995,11
1996,2,1996,3
1996,10,1996,11
1996,11,1996,12
1997,4,1997,5
1998,1,1998,2
1998,2,1998,3
1998,4,1998,5
1998,8,1998,9
1998,10,1998,11
1999,2,1999,3
1999,4,1999,5
1999,5,1999,6
1999,6,1999,7
1999,8,1999,9
1999,10,1999,11
1999,11,1999,12
1999,12,2000,1
2000,1,2000,2
2000,3,2000,4
2000,4,2000,5
2000,5,2000,6
2000,6,2000,7
